ID,Type,ObjectType,Name,Priority,UUID,Trail Mileage,Latitude,Longitude,Trail Offset,Access Type,Capacity,Surface,Restrooms,Water,Hours,Fees,Verified,Source,Notes,PrimaryPhotoId,Narrative,icons,QR Code links,URL,display_type,sort_order,start_mile,end_mile,midpoint_mile
R06,Park,POI,Eakin Communtiy Park,3,,20.1,38.85275562,-77.24164579,,Along Trail,,,seasonal,yes,,,,,,"PHEAKIN01, PHEAKIN02",NEAKIN01,park,,https://www.fairfaxcounty.gov/parks/picnics/eakin-community-park,point,45,,,
P11,Parking,Parking,Eakin Community Park Parking,2,,20.1,38.85304285,-77.23923012,0.15,Short Detour,40,paved,,,,,,,,,,parking,,,point,46,,,
H20,Historic,POI,Chichester's Mill Race,3,,20.24,38.8618575,-77.2602013,,Along Trail,,,,,,,,,,PHCHMILL01,NCHMILL01,"history, discovery, watermill",,https://www.franconiahistory.com/historic-sites/chichester-grist-mill-(site),point,47,,,
W03,Waterway,Area,Along the Accotink,3,,20.7,,,,,,,,,,,,,,"NALACCT01,NALACCT02,NALACCT03",NALACCT01,,,,area,48,20.24,21.02,20.6
P12,Parking,Parking,Thaiss Memorial Park Parking,2,,20.89,38.86061797,-77.26930028,,Along Trail,50,dirt,,,,,,,"Under re-development, re-opens Fall 2026",,,parking,,,point,49,,,
P13,Park,POI,Thaiss Memorial Park,2,,20.89,38.86061797,-77.26930028,,Along Trail,,,,,,,,,"Under re-development, re-opens Fall 2026",,,,,https://www.fairfaxva.gov/Fun-Facilities/Parks/Parks-Directory/Thaiss-Memorial-Park,point,50,,,
F06,"Food, Drink",POI,Stryker Square,3,,21.02,38.86357399,-77.27426534,0.32,Short Detour,,,,,,,,,,,,"Food,libations",,https://maps.app.goo.gl/xSccfjsq7ZStKAtr6,point,51,,,
F07,"Food, Drink",POI,Fairfax Circle,3,,21.02,38.86365346,-77.27759539,0.45,Detour,,,,,,,,,,"PHFFXC01, PHFFXC02",NFFXC01,"food,libations",,https://maps.app.goo.gl/EYKx7iZDuCFETDg58,point,52,,,
F08,"Food, Drink",POI,Santini's New York Style Deli,3,,23.5,38.8796933,-77.3014278,0.2,Short Detour,,,,,,,,,,"PHSANTIN01, PHSANT02, PHSANTIN03, PHSANT04",NSAN01,"pizza,drinks",,https://mysantinis.com/locations/oakton-va/,point,53,,,
H21,Historic,Area,Flint Hill,3,,,,,,,,,,,,,,,,NFLNTHL01,NFLNTHL01,,,https://hamiltonhistoricalrecords.wordpress.com/2019/04/29/the-area-of-oakton-virginia/,area,54,23.5,23.89,23.7
P13,Parking,Parking,Oakmont Recreation Center parking,2,,23.89,38.87489256,-77.31505688,0.26,Short Detour,200,paved,,,,,,,,,,parking,,,point,55,,,
R07,Park,POI,Oakmont Recreation Center,4,,23.89,38.87507122,-77.31369603,0.26,Short Detour,,,yes,yes,,,,,,"PHOAKM01, PHOAKM02, PHOAKM03, PHOAKM04",NOAKM01,golf,,https://www.fairfaxcounty.gov/parks/reccenter/oakmont,point,56,,,
W04,Waterway,Area,Difficult Run,4,,,,,,,,,,,,,,,,"PHDIFRUN01, PHDIFRUN02, PHDIFRUN03, PHDIFRUN04, PHDIFRUN05, PHDIFRUN06, PHDIFRUN07, PHDIFRUN08, PHDIFRUN09, PHDIFRUN10",NDIFRUN01,stream,,,area,57,23.89,30.3,27
R08,Park,POI,Gabrielson Gardens,4,,28.9,38.91029918,-77.31669448,0.06,Short Detour,,,,,,,,,,PHGABGD01,NGABGD01,nature ,,,point,58,,,
P14,Parking,Parking,Gabrielson Gardens Parking,2,,28.9,38.91026782,-77.31704922,0.1,Short Detour,6,dirt,,,,,,,,,,parking,,,point,59,,,
H22,Historic,Area,Difficult Run Stream Valley,4,,,,,,,,,,,,,,,,"PHDIFSB01, PHDIFSB02, PHDIFSB03, PHDIFSB04",NDIFSB01,"history, stream, wildlife",,,area,60,33,40.46,36.73
P15,Parking,Parking,Lawyers Road Parking,2,,30.3,38.92442828,-77.32759328,0.05,Short Detour,6,grass,,,,,,,,,,parking,,,point,61,,,
D01,Discovery, POI,The Glade near Howland Drive,3,,30.45,38.9254985,-77.32947252,,Along Trail,,,,,,,,,,"NGLDH01, NGLDH02",NGLDH01,discovery,,https://waterdata.usgs.gov/nwis/uv?site_no=0164579522&legacy=1,point,62,,,
R09,Park,POI,Meadowlark Botanical Gardens,4,,33,38.93788365,-77.28195097,1,Detour,,,yes,yes,,,,,,"PHMDWLK01, PHMDWLK02, PHMDWLK03, PHMDWLK04",NMDWLK01,"nature,flowers",,https://www.novaparks.com/parks/meadowlark-botanical-gardens,point,63,,,
P16,Parking,Parking,Meadowlark Botanical Gardens Parking,2,,33,38.93788365,-77.28195097,1,Detour,100,paved,,,10:00-1600 minimum,,,,,,,parking,,,point,64,,,
T01,Trail,Area,W&OD Trail,3,,,,,,,,,,,,,,,,"PHWOD01, PHWOD02, PHWOD03, PHWOD04",NWOD01,bicycle,,https://wodfriends.org/trail-map/,,65,32.2,33,32.6
R10,Park,POI,Tamarack Park,3,,33.16,38.93926331,-77.29601741,,Along Trail,,,,,,,,,,"NGCB01,NGCB02, NGCB03, NGCB04",NGCB01,nature,,,,66,,,
H23,Historic,POI,Colvin Run Mill,2,,36.44,38.96993086,-77.29410168,0.3,Short Detour,,,seasonal,seasonal,,,,,,,NCRMILL01,watermill,,https://friendsofcolvinrunmill.org/,point,67,,,
P17,Parking,Parking,Colvin Run Mill Parking,2,,36.44,38.96993086,-77.29410168,0.3,Short Detour,50,paved,,,,,,,,,,parking,,,point,68,,,
F08,"Food,Drink",POI,Old Mill Market Square,3,,36.44,38.9734352,-77.29640191,0.5,Detour,,,,,,,,,,"PHOMMKT01, PHOMMKT02, PHOMMKT03, PHOMMKT04, PHOMMKT05",NOMMKT01,"Food,libations",,,,69,,,
F08,"Food, Drink",POI,Blue Chicken Bakery,2,,36.44,38.97373493,-77.29570177,0.5,Detour,,,,,,,,,,,,Bakery,,https://www.bluechickenbakery.com/,point,70,,,
F09,"Food, Drink",POI,Mookies BBQ,2,,36.44,38.97351423,-77.29571453,0.5,Detour,,,,,,,,,,,,"Food, libations",,http://mookiesbbq.com/index.html,point,71,,,
P18,Parking,Parking,Georgetown Pike Parking,2,,39.49,38.97832319,-77.24904654,,Along Trail,30,dirt,,,,,,,,,,parking,,,point,72,,,
R11,Park,POI,Great Falls CCT Start/End,2,,40.49,38.97635319,-77.23526523,,,,,,,,,,,,,,trailhead,,,point,73,,,
R12,Park,POI,Great Falls Park Visitor's Center,3,,40.49,38.99695463,-77.25478992,2,Detour,,,,,,,,,,,,Information,,https://www.nps.gov/grfa/index.htm,point,74,,,
P19,Parking,Parking,Great Falls Park Parking - Old Carriage Trail,2,,40.49,38.99352091,-77.25445299,1.8,Detour,30,paved,,,,,,,,,,parking,,,point,75,,,
H24,Historic,POI,Matildaville,3,,,38.99208918,-77.25283727,1.7,,,,,,,,,,,,,historic,,https://pastlanetravels.com/matildaville-ruins/,point,76,,,
