ID,Type,ObjectType,Name,Priority,UUID,Trail Mileage,Latitude,Longitude,Trail Offset,Access Type,Capacity,Surface,Restrooms,Water,Hours,Fees,Verified,Source,Notes,PrimaryPhotoId,Narrative,icons,QR Code links,URL
F05,"Food, Drink",POI,Ravensworth Shopping Plaza,3,,14.79,38.80989296,-77.22183815,0.47,Detour,,,,,,,,,,"PHRAVENS01, PHRAVENS02, PHRAVENS03",NRAVENS01,parking,,
R05,Park,POI,Wakefield Park Rec Center,3,,15.3,38.81773046,-77.22391699,0.17,Short Detour,,,yes,yes,,,,,,"PHWKFLD01, PHWKFLD02, PHWKFLD03",NWKFLD01,park,,https://dwr.virginia.gov/vbwt/sites/wakefield-park/
P10,Parking,Parking,Wakefield Park Parking,2,,15.3,38.8178805,-77.2233542,0.21,Short Detour,200,paved,,,,,,,,,,parking,,
R06,Park,POI,Eakin Communtiy Park,3,,20.1,38.85275562,-77.24164579,,Along Trail,,,seasonal,yes,,,,,,"PHEAKIN01, PHEAKIN02",NEAKIN01,park,,https://www.fairfaxcounty.gov/parks/picnics/eakin-community-park
P11,Parking,Parking,Eakin Community Park Parking,2,,20.1,38.85304285,-77.23923012,0.15,Short Detour,40,paved,,,,,,,,,,parking,,
H20,Historic,POI,Chichester's Mill Race,3,,20.24,38.8618575,-77.2602013,,Along Trail,,,,,,,,,,PHCHMILL01,NCHMILL01,"history, discovery, watermill",,
W03,Waterway,Area,Along the Accotink,3,,20.7,38.861645,-77.266301,,,,,,,,,,,,"NALACCT01,NALACCT02,NALACCT03",NALACCT01,,,
P13,Parking,Parking,Thaiss Memorial Park Parking,2,,20.89,38.86061797,-77.26930028,,Along Trail,50,dirt,yes,yes,,,,,"Under re-development, re-opens Fall 2026",,,,,
P13,Parking,POI,Thaiss Memorial Park,2,,20.89,38.86061797,-77.26930028,,Along Trail,,,,,,,,,"Under re-development, re-opens Fall 2026",,,,,
F06,"Food, Drink",POI,Stryker Square,3,,21.02,38.86357399,-77.27426534,0.32,Short Detour,,,,,,,,,,,,"Food,libations",,https://maps.app.goo.gl/xSccfjsq7ZStKAtr6
F07,"Food, Drink",POI,Fairfax Circle,3,,21.02,38.86365346,-77.27759539,0.45,Detour,,,,,,,,,,"PHFFXC01, PHFFXC02",NFFXC01,"food,libations",,https://maps.app.goo.gl/EYKx7iZDuCFETDg58
F08,"Food, Drink",POI,Santini's New York Style Deli,3,,23.5,38.8796933,-77.3014278,0.2,Short Detour,,,,,,,,,,"PHSANTIN01, PHSANT02, PHSANTIN03, PHSANT04",NSAN01,"pizza,drinks",,
H21,Historic,Area,Flint Hill,3,,,,,,,,,,,,,,,,NFLNTHL01,NFLNTHL01,,,
P12,Parking,Parking,Oakmont Recreation Center parking,2,,23.89,38.87489256,-77.31505688,0.26,Short Detour,200,paved,,,,,,,,,,,,
R07,Park,POI,Oakmont Recreation Center,4,,23.89,38.87507122,-77.31369603,0.26,Short Detour,,,yes,yes,,,,,,"PHOAKM01, PHOAKM02, PHOAKM03, PHOAKM04",NOAKM01,,,https://www.fairfaxcounty.gov/parks/reccenter/oakmont
W04,Waterway,Area,Difficult Run,4,,,,,,,,,,,,,,,,"PHDIFRUN01, PHDIFRUN02, PHDIFRUN03, PHDIFRUN04, PHDIFRUN05, PHDIFRUN06, PHDIFRUN07, PHDIFRUN08, PHDIFRUN09, PHDIFRUN10",NDIFRUN01,,,
R08,Park,POI,Gabrielson Gardens,4,,28.9,38.91029918,-77.31669448,0.06,Short Detour,,,,,,,,,,PHGABGD01,NGABGD01,,,
P14,Parking,Parking,Gabrielson Gardens Parking,2,,28.9,38.91026782,-77.31704922,0.1,Short Detour,6,dirt,,,,,,,,,,,,
H22,Historic,Area,Difficult Run Stream bed,4,,,,,,,,,,,,,,,,"PHDIFSB01, PHDIFSB02, PHDIFSB03, PHDIFSB04",NDIFSB01,,,
P15,Parking,Parking,Lawyers Road Parking,2,,30.3,38.92442828,-77.32759328,0.05,Short Detour,6,grass,,,,,,,,,,,,
D01,Discovery, POI,The Glade near Howland Drive,3,,,38.9254985,-77.32947252,,Along Trail,,,,,,,,,,,,,,
R09,Park,POI,Meadowlark Botanical Gardens,4,,33,38.93788365,-77.28195097,1,Detour,,,yes,yes,,,,,,,,,,https://www.novaparks.com/parks/meadowlark-botanical-gardens
P16,Parking,Parking,Meadowlark Botanical Gardens Parking,2,,33,38.93788365,-77.28195097,1,Detour,100,paved,,,10:00-1600 minimum,,,,,,,,,
H23,Historic,POI,Colvin Run Mill,2,,36.44,38.96993086,-77.29410168,0.3,Short Detour,,,seasonal,seasonal,,,,,,,,,,
P17,Parking,Parking,Colvin Run Mill Parking,2,,36.44,38.96993086,-77.29410168,0.3,Short Detour,50,paved,,,,,,,,,,,,
F08,"Food, Drink",POI,Blue Chicken Bakery,2,,36.44,38.97373493,-77.29570177,0.5,Detour,,,,,,,,,,,,,,https://www.bluechickenbakery.com/
F09,"Food, Drink",POI,Mookies BBQ,2,,36.44,38.97351423,-77.29571453,0.5,Detour,,,,,,,,,,,,,,http://mookiesbbq.com/index.html
P18,Parking,Parking,Georgetown Pike Parking,2,,39.49,38.97832319,-77.24904654,,Along Trail,30,dirt,,,,,,,,,,,,
R10,Park,POI,Great Falls CCT Start/End,2,,40.49,38.97635319,-77.23526523,,,,,,,,,,,,,,,,
R10,Park,POI,Great Falls Park Visitor's Center,3,,40.49,38.99695463,-77.25478992,2,Detour,,,,,,,,,,,,,,
P19,Parking,Parking,Great Falls Park Parking - Old Carriage Trail,2,,40.49,38.99352091,-77.25445299,1.8,Detour,30,paved,,,,,,,,,,,,
H24,Historic,POI,Matildaville,,,,,,,,,,,,,,,,,,,,,
